off_category_tag,category_l2,priority
en:plant-based-foods-and-beverages,other,4
en:plant-based-foods,other,4
en:snacks,salty_snacks,4
en:sweet-snacks,sweet_snacks_confectionery,3
en:beverages,beverages_other,4
nl:beauty,beauty_personal_care,3
en:cereals-and-potatoes,grains_potatoes_other,3
en:beverages-and-beverages-preparations,beverages_other,4
en:dairies,milk_cream,4
en:condiments,savory_sauces,4
en:fruits-and-vegetables-based-foods,fresh_fruit,4
en:cereals-and-their-products,breakfast_cereals,3
en:fermented-foods,yoghurt_fermented,4
en:fermented-milk-products,yoghurt_fermented,3
nl:make-up,beauty_personal_care,2
en:meals,meals_general,3
en:meats-and-their-products,meat_general,3
en:spreads,savory_spreads,4
en:desserts,desserts_ice_cream,3
en:biscuits-and-cakes,sweet_snacks_confectionery,2
en:sauces,savory_sauces,3
en:confectioneries,sweet_snacks_confectionery,3
en:plant-based-beverages,beverages_other,3
nl:verzorging,beauty_personal_care,3
en:breads,bread,2
en:vegetables-based-foods,fresh_vegetables,3
en:breakfasts,breakfast_cereals,4
en:cheeses,cheese,3
en:cocoa-and-its-products,chocolate,3
en:dietary-supplements,dietary_supplements,2
en:meats,meat_general,3
en:biscuits,sweet_snacks_confectionery,2
en:salty-snacks,salty_snacks,2
nl:gezondheid,dietary_supplements,4
en:plant-based-spreads,margarine_spreadable_fats,2
nl:parfum,beauty_personal_care,2
nl:baby,baby_food,2
en:biscuits-and-crackers,sweet_snacks_confectionery,3
en:frozen-foods,frozen_foods,3
en:legumes-and-their-products,legumes_pulses,2
en:dairy-desserts,dairy_desserts,2
en:nuts-and-their-products,nuts_seeds,2
en:candies,sweet_snacks_confectionery,2
en:appetizers,salty_snacks,3
en:chocolates,chocolate,2
en:fruits-based-foods,fresh_fruit,3
en:canned-foods,canned_general,3
en:vegetable-based-foods-and-beverages,fresh_vegetables,4
en:prepared-meats,meat_general,2
en:breakfast-cereals,breakfast_cereals,2
en:vegetables,fresh_vegetables,3
en:seeds,nuts_seeds,3
en:fermented-dairy-desserts,yoghurt_fermented,2
en:fruit-based-beverages,juice,3
en:fats,margarine_spreadable_fats,4
en:hot-beverages,hot_beverages,3
en:alcoholic-beverages,alcoholic,3
en:pastas,pasta_noodles,2
en:dried-products,other,4
en:carbonated-drinks,soda_carbonated,2
en:sweet-spreads,sweet_spreads,2
en:chips-and-fries,salty_snacks,2
en:meat-alternatives,meat_alternatives,2
en:yogurts,yoghurt_fermented,2
nl:lipmake-up,beauty_personal_care,1
en:seafood,fish_seafood,3
en:bodybuilding-supplements,dietary_supplements,1
en:salted-spreads,savory_spreads,2
en:beverage-preparations,beverages_other,4
en:nuts,nuts_seeds,3
nl:damesparfum,beauty_personal_care,1
en:sodas,soda_carbonated,2
en:juices-and-nectars,juice,2
en:soups,soups,2
en:crisps,salty_snacks,2
en:fruits,fresh_fruit,3
en:chicken-and-its-products,poultry,2
en:canned-plant-based-foods,canned_preserved_vegetables,3
en:dairy-substitutes,dairy_alternatives,3
en:vegetable-fats,margarine_spreadable_fats,3
en:legumes,legumes_pulses,3
en:cow-cheeses,cheese,2
en:groceries,other,4
nl:skincare,beauty_personal_care,2
en:fishes-and-their-products,fish_seafood,2
en:bars,sweet_snacks_confectionery,3
en:frozen-desserts,desserts_ice_cream,2
en:poultries,poultry,2
en:fruit-juices,juice,2
en:fishes,fish_seafood,3
en:ice-creams-and-sorbets,desserts_ice_cream,2
en:chickens,poultry,2
en:coffees,hot_beverages,2
en:meat-preparations,meat_general,2
en:teas,hot_beverages,2
en:meat-analogues,meat_alternatives,2
en:chocolate-candies,chocolate,2
en:dried-products-to-be-rehydrated,other,4
en:cooking-helpers,cooking_aids_spices,3
en:cereal-grains,breakfast_cereals,2
en:uncooked-pressed-cheeses,cheese,2
en:prepared-salads,salads_prepared,2
en:gouda,cheese,1
en:artificially-sweetened-beverages,soda_carbonated,2
en:bread-coverings,savory_spreads,4
en:mueslis,breakfast_cereals,1
en:tomatoes-and-their-products,fresh_vegetables,2
en:spreadable-fats,margarine_spreadable_fats,2
en:milk-substitutes,dairy_alternatives,2
en:ice-creams,desserts_ice_cream,2
en:oilseed-purees,nuts_seeds,2
en:cakes,sweet_snacks_confectionery,2
en:fatty-fishes,fish_seafood,2
en:sausages,sausages_cold_cuts,2
en:canned-vegetables,canned_preserved_vegetables,2
nl:haarverzorging,beauty_personal_care,2
en:dairy-drinks,milk_cream,2
en:baby-foods,baby_food,2
en:vegetable-oils,vegetable_oils,2
en:plant-based-milk-alternatives,dairy_alternatives,1
en:kaas,cheese,3
en:sweeteners,sweet_spreads,3
en:milks,milk_cream,2
en:beers,alcoholic,2
en:waters,water,2
en:spices,cooking_aids_spices,2
en:legume-seeds,legumes_pulses,2
en:pork-and-its-products,pork,2
en:sweetened-beverages,soda_carbonated,3
en:culinary-plants,fresh_vegetables,3
en:dried-plant-based-foods,other,4
nl:wonen,home_pet_auto,3
en:dark-chocolates,chocolate,1
en:herbal-teas,hot_beverages,2
nl:foundation,beauty_personal_care,1
en:syrups,sweet_spreads,3
en:wines,alcoholic,2
en:crackers-appetizers,salty_snacks,2
en:pastry-helpers,cooking_aids_spices,3
en:pulses,legumes_pulses,3
en:fruit-and-vegetable-preserves,canned_preserved_vegetables,3
nl:mondverzorging,beauty_personal_care,2
en:beef-and-its-products,beef,2
en:noodles,pasta_noodles,2
en:tomato-sauces,savory_sauces,2
en:jams,sweet_spreads,2
en:legume-butters,legumes_pulses,2
en:peanut-butters,sweet_spreads,2
en:pork,pork,3
en:festive-foods,other,4
en:mayonnaises,savory_sauces,2
nl:nagels,beauty_personal_care,1
en:dips,savory_sauces,2
en:vegetable-soups,soups,1
en:protein-powders,dietary_supplements,1
en:pasta-dishes,pasta_noodles,2
en:olive-tree-products,vegetable_oils,3
en:farming-products,meat_general,4
en:tea-based-beverages,hot_beverages,2
en:sandwiches,meals_general,2
en:olive-oils,vegetable_oils,1
en:extra-virgin-olive-oils,vegetable_oils,1
en:virgin-olive-oils,vegetable_oils,1
en:salmons,fish_seafood,1
en:wild-salmons,fish_seafood,1
nl:dier,home_pet_auto,2
nl:honden,home_pet_auto,1
nl:auto-onderhoud,home_pet_auto,2
nl:autoreinigingsproducten,home_pet_auto,1
nl:huishouden,home_pet_auto,3
nl:buiten-en-vrije-tijd,home_pet_auto,4
nl:reisproducten-hond,home_pet_auto,1
